编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
232,Generalized Out-of-Distribution Fault Diagnosis (GOOFD) via Internal Contrastive Learning,2024,10.1109/tii.2024.3390446,paper/10.1109_TII.2024.3390446.pdf,其他AI安全与跨域异常检测,,在线、增量、开放集与概念漂移; 自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化; 开放世界未知攻击与误报控制,弱相关,2,未发现,,Generalized; Out-of-Distribution; Fault; Diagnosis; GOOFD; Internal; Contrastive; Learning
233,GETRF: A General Framework for Encrypted Traffic Identification With Robust Representation Based on Datagram Structure,2024,10.1109/tccn.2024.3400825,paper/10.1109_TCCN.2024.3400825.pdf,加密流量分类与应用识别,,表征学习、预训练与Transformer; 鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 对抗规避、污染与鲁棒性; 域迁移、概念漂移与真实网络分布变化,强相关,13,未发现,,GETRF; General; Framework; Encrypted; Traffic; Identification; Robust; Representation
234,Global-to-Local Spatial–Spectral Awareness Transformer Network for Hyperspectral Anomaly Detection,2024,10.1109/tgrs.2024.3456799,paper/10.1109_TGRS.2024.3456799.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失,中相关,6,未发现,,Global-to-Local; Spatial; Spectral; Awareness; Transformer; Network; Hyperspectral; Anomaly
235,Graph Anomaly Detection via Multi-View Discriminative Awareness Learning,2024,10.1109/tnse.2024.3462462,paper/10.1109_TNSE.2024.3462462.pdf,其他AI安全与跨域异常检测,图学习、知识图谱与威胁情报; 入侵检测与网络异常检测,多模态、多视图与特征融合; 数据集、基准、工具与系统化评测; 自监督、对比学习与少样本学习,多源异构数据融合与上下文建模; 数据集代表性、标准化评测与可复现,弱相关,3,未发现,,Graph; Anomaly; Detection; Multi-View; Discriminative; Awareness; Learning; Currently
236,Graph Autoencoder Anomaly Detection for E-Commerce Application by Contextual Integrating Contrast With Reconstruction and Complementarity,2024,10.1109/tce.2024.3352186,paper/10.1109_TCE.2024.3352186.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 图学习、知识图谱与威胁情报,应用场景与系统化验证,多源异构数据融合与上下文建模,弱相关,4,已下载,GAAD -> source\GAAD,Graph; Autoencoder; Anomaly; Detection; E-Commerce; Application; Contextual; Integrating
237,Graph Structure Change-Based Anomaly Detection in Multivariate Time Series of Industrial Processes,2023,10.1109/tii.2023.3347000,paper/10.1109_TII.2023.3347000.pdf,时序、日志、KPI 与云原生异常检测,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,图神经网络与关系建模,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,Graph; Structure; Change-Based; Anomaly; Detection; Multivariate; Time; Series
238,Graph Structure Learning-Based Multivariate Time Series Anomaly Detection in Internet of Things for Human-Centric Consumer Applications,2024,10.1109/tce.2024.3409391,paper/10.1109_TCE.2024.3409391.pdf,时序、日志、KPI 与云原生异常检测,IoT、车联网、工业互联网与边缘安全; 图学习、知识图谱与威胁情报,图神经网络与关系建模; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模,中相关,7,未发现,,Graph; Structure; Learning-Based; Multivariate; Time; Series; Anomaly; Detection
239,Guest Editorial Introduction to the Special Section on Next-Generation Traffic Measurement With Network-Wide Perspective and Artificial Intelligence,2024,10.1109/tnse.2024.3389428,paper/10.1109_TNSE.2024.3389428.pdf,网络流量监测、测量与工具,,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Guest; Editorial; Introduction; Special; Section; Next-Generation; Traffic; Measurement
240,"Guest Editorial Introduction to the Special Section on Open Radio Access Networks: Architecture, Challenges, Opportunities, and Use Cases in Vehicular Networks",2024,10.1109/tvt.2024.3399470,paper/10.1109_TVT.2024.3399470.pdf,IoT、车联网、工业互联网与边缘安全,,应用场景与系统化验证,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,中相关,7,未发现,,Guest; Editorial; Introduction; Special; Section; Open; Radio; Access
241,Guest Editorial: Special Issue on Graph Learning,2024,10.1109/tnnls.2024.3427528,paper/10.1109_TNNLS.2024.3427528.pdf,图学习、知识图谱与威胁情报,,图神经网络与关系建模,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失,中相关,6,未发现,,Guest; Editorial; Special; Issue; Graph; Learning
242,Hierarchical-Instance Contrastive Learning for Minority Detection on Imbalanced Medical Datasets,2023,10.1109/tmi.2023.3310716,paper/10.1109_TMI.2023.3310716.pdf,多媒体、医学、遥感与视频异常检测,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,标签稀缺、类别不平衡与长尾攻击; 数据集代表性、标准化评测与可复现,弱相关,0,未发现,,Hierarchical-Instance; Contrastive; Learning; Minority; Detection; Imbalanced; Medical; Datasets
243,HybridAD: A Hybrid Model-Driven Anomaly Detection Approach for Multivariate Time Series,2023,10.1109/tetci.2023.3290027,paper/10.1109_TETCI.2023.3290027.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,表征学习、预训练与Transformer,开放世界未知攻击与误报控制,中相关,8,未发现,,HybridAD; Hybrid; Model-Driven; Anomaly; Detection; Approach; Multivariate; Time
244,I $^{2}$ RNN: An Incremental and Interpretable Recurrent Neural Network for Encrypted Traffic Classification,2023,10.1109/tdsc.2023.3245411,paper/10.1109_tdsc.2023.3245411.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 基础理论、密码协议与安全机制,可解释性、规则抽取与因果分析; 在线、增量、开放集与概念漂移,加密与隐私保护造成可观测特征缺失; 模型可解释、可信与可审计,强相关,14,未发现,,RNN; Incremental; Interpretable; Recurrent; Neural; Network; Encrypted; Traffic
245,Integrating Entity Attributes for Error-Aware Knowledge Graph Embedding,2023,10.1109/tkde.2023.3310149,paper/10.1109_TKDE.2023.3310149.pdf,图学习、知识图谱与威胁情报,,表征学习、预训练与Transformer; 图神经网络与关系建模; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,中相关,5,未发现,,Integrating; Entity; Attributes; Error-Aware; Knowledge; Graph; Embedding; KGs
246,Inter-Flow Spatio-Temporal Correlation Analysis Based Website Fingerprinting Using Graph Neural Network,2024,10.1109/tifs.2024.3441935,paper/10.1109_TIFS.2024.3441935.pdf,加密流量分类与应用识别,图学习、知识图谱与威胁情报; 时序、日志、KPI 与云原生异常检测,图神经网络与关系建模; 多模态、多视图与特征融合,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失,强相关,14,未发现,,Inter-Flow; Spatio-Temporal; Correlation; Analysis; Based; Website; Fingerprinting; Using
247,K-GetNID: Knowledge-Guided Graphs for Early and Transferable Network Intrusion Detection,2024,10.1109/tifs.2024.3431932,paper/10.1109_TIFS.2024.3431932.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报,图神经网络与关系建模; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化; 多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,18,未发现,,K-GetNID; Knowledge-Guided; Graphs; Early; Transferable; Network; Intrusion; Detection
248,KnowCTI: Knowledge-based cyber threat intelligence entity and relation extraction,2024,10.1016/j.cose.2024.103824,paper/10.1016_j.cose.2024.103824.pdf,图学习、知识图谱与威胁情报,,轻量化、实时与高性能部署; 图神经网络与关系建模,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模,弱相关,4,未发现,,KnowCTI; Knowledge-based
249,Label-Free Multivariate Time Series Anomaly Detection,2024,10.1109/tkde.2024.3349613,paper/10.1109_TKDE.2024.3349613.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,自监督、对比学习与少样本学习,标签稀缺、类别不平衡与长尾攻击,中相关,5,未发现,,Label-Free; Multivariate; Time; Series; Anomaly; Detection; time series
250,Large-Scale Visual Language Model Boosted by Contrast Domain Adaptation for Intelligent Industrial Visual Monitoring,2024,10.1109/tii.2024.3441638,paper/10.1109_TII.2024.3441638.pdf,多媒体、医学、遥感与视频异常检测,,表征学习、预训练与Transformer,域迁移、概念漂移与真实网络分布变化; 边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,弱相关,4,未发现,,Large-Scale; Visual; Language; Model; Boosted; Contrast; Domain; Adaptation
251,Let model keep evolving: Incremental learning for encrypted traffic classification,2023,10.1016/j.cose.2023.103624,paper/10.1016_j.cose.2023.103624.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,在线、增量、开放集与概念漂移,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,10,未发现,,Let; Incremental
252,LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model,2024,10.1016/j.cose.2024.103999,paper/10.1016_j.cose.2024.103999.pdf,图学习、知识图谱与威胁情报,,表征学习、预训练与Transformer; 图神经网络与关系建模; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,弱相关,4,候选不可访问,LLM-TIKGdataset,LLM-TIKG; Threat; knowledge graph
253,LogFiT: Log Anomaly Detection Using Fine-Tuned Language Models,2024,10.1109/tnsm.2024.3358730,paper/10.1109_TNSM.2024.3358730.pdf,其他AI安全与跨域异常检测,时序、日志、KPI 与云原生异常检测; 入侵检测与网络异常检测,表征学习、预训练与Transformer,开放世界未知攻击与误报控制,弱相关,4,未发现,,LogFiT; Log; Anomaly; Detection; Using; Fine-Tuned; Language; Models
254,Machine learning-enabled hybrid intrusion detection system with host data transformation and an advanced two-stage classifier,2024,10.1016/j.comnet.2024.110576,paper/10.1016_j.comnet.2024.110576.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Machine
255,MAG: A Novel Approach for Effective Anomaly Detection in Spacecraft Telemetry Data,2023,10.1109/tii.2023.3314852,paper/10.1109_TII.2023.3314852.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测,生成式增强、GAN与扩散模型,开放世界未知攻击与误报控制,弱相关,2,未发现,,MAG; Novel; Approach; Effective; Anomaly; Detection; Spacecraft; Telemetry
256,Marina : Realizing ML-Driven Real-Time Network Traffic Monitoring at Terabit Scale,2024,10.1109/tnsm.2024.3382393,paper/10.1109_TNSM.2024.3382393.pdf,网络流量监测、测量与工具,加密流量分类与应用识别,轻量化、实时与高性能部署,高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失,强相关,17,已下载,Marina -> source\Marina,Marina; Realizing; ML-Driven; Real-Time; Network; Traffic; Monitoring; Terabit
257,MCRe: A Unified Framework for Handling Malicious Traffic With Noise Labels Based on Multidimensional Constraint Representation,2023,10.1109/tifs.2023.3318962,paper/10.1109_TIFS.2023.3318962.pdf,恶意流量、暗网与攻击检测,,数据集、基准、工具与系统化评测; 表征学习、预训练与Transformer,标签稀缺、类别不平衡与长尾攻击; 数据集代表性、标准化评测与可复现,强相关,14,未发现,,MCRe; Unified; Framework; Handling; Malicious; Traffic; Noise; Labels
258,"Meta: Toward a Unified, Multimodal Dataset for Network Intrusion Detection Systems",2024,10.1109/ieeedata.2024.3482286,paper/10.1109_IEEEDATA.2024.3482286.pdf,入侵检测与网络异常检测,数据集、基准、综述与开源工具,数据集、基准、工具与系统化评测; 多模态、多视图与特征融合,数据集代表性、标准化评测与可复现,强相关,14,未发现,,Meta; Toward; Unified; Multimodal; Dataset; Network; Intrusion; Detection
259,MetaCluster: A Universal Interpretable Classification Framework for Cybersecurity,2024,10.1109/tifs.2024.3372808,paper/10.1109_TIFS.2024.3372808.pdf,其他AI安全与跨域异常检测,,可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测; 表征学习、预训练与Transformer; 轻量化、实时与高性能部署,模型可解释、可信与可审计; 高速流量实时检测与资源约束,弱相关,2,未发现,,MetaCluster; Universal; Interpretable; Classification; Framework; Cybersecurity; Rising; Fortinet
